entrez_id,symbol,Annotated_drug_processing,Disease_gene_Menche,Disease_gene_New,Drug_target,neighbors,nb_disease_genes_2015,nb_disease_gene_New,nb_drug_target,Palliative_target,zscore,Transcription_factor
56101,PCDHGB5,No,No,No,No,2,0,0,0,No,-0.732073624,No
619567,SNORD2,No,No,No,No,3,3,3,0,No,-0.810083342,No
132949,AASDH,No,No,No,No,5,0,2,1,No,-0.035695528,No
98,ACYP2,No,Yes,Yes,Yes,4,0,1,1,No,0.132057799,No
80154,GOLGA2P10,No,No,No,No,2,1,1,0,No,-0.732073624,No
100528030,POC1B-GALNT4,No,No,No,No,1,0,1,0,No,-0.520170265,No
51312,SLC25A37,No,Yes,No,No,3,2,2,0,No,-0.810083342,No
256223,CDRT15L2,No,No,No,No,1,0,0,0,No,-0.520170265,No
84879,MFSD2A,No,No,Yes,No,3,0,2,2,No,1.729637405,No
643535,KCTD9P2,No,No,No,No,1,1,1,1,No,1.922447449,No
313,AOAH,No,No,No,No,1,0,1,0,No,-0.520170265,No
126637,TCHHL1,No,No,No,No,1,1,1,0,No,-0.520170265,No
2845,GPR22,No,No,No,No,3,0,1,0,No,-0.810083342,No
83592,AKR1E2,No,No,No,No,1,0,0,0,No,-0.520170265,No
118442,GPR62,No,No,No,No,2,1,2,0,No,-0.732073624,No
9487,PIGL,No,No,Yes,No,3,1,2,0,No,-0.810083342,No
3938,LCT,No,No,Yes,Yes,3,1,1,3,No,2.999497778,No
619208,FAM229B,No,No,No,No,2,0,0,1,No,0.881815956,No
389766,C9orf153,No,No,No,No,1,0,0,0,No,-0.520170265,No
677768,SCARNA13,No,No,No,No,2,1,1,0,No,-0.732073624,No
11095,ADAMTS8,No,No,No,No,2,0,2,0,No,-0.732073624,No
400709,SIGLEC16,No,No,No,No,1,0,0,0,No,-0.520170265,No
25976,TIPARP,No,No,Yes,No,7,3,6,1,No,-0.382081901,Yes
400224,PLEKHD1,No,No,No,No,1,0,0,0,No,-0.520170265,No
9057,SLC7A6,No,No,Yes,No,5,1,2,1,No,-0.035695528,No
27439,TMEM121B,No,No,No,No,3,1,2,0,No,-0.810083342,No
55009,FAM174C,No,No,No,No,8,1,2,0,No,-1.24109149,No
28474,IGHV1-2,No,No,No,Yes,1,1,1,0,No,-0.520170265,No
4108,MAGEA9,No,No,No,No,6,0,2,1,No,-0.307864395,No
123775,C16orf46,No,No,No,No,2,1,1,0,No,-0.732073624,No
23514,SPIDR,No,No,Yes,No,2,0,0,1,No,0.881815956,No
7562,ZNF708,No,No,No,No,2,1,2,1,No,0.881815956,Yes
388558,ZNF808,No,No,No,No,1,0,0,0,No,-0.520170265,Yes
162966,ZNF600,No,No,No,No,3,0,0,0,No,-0.810083342,Yes
253190,SERHL2,No,No,No,No,6,1,2,1,No,-0.307864395,No
92340,PRR29,No,No,No,No,1,1,1,0,No,-0.520170265,No
359806,PCNAP1,No,No,No,No,4,1,2,0,No,-0.934308929,No
84873,ADGRG7,No,No,No,No,4,1,1,0,No,-0.934308929,No
1761,DMRT1,No,Yes,Yes,No,3,0,1,0,No,-0.810083342,Yes
9914,ATP2C2,No,No,Yes,No,3,1,2,0,No,-0.810083342,No
143458,LDLRAD3,No,No,No,No,1,1,0,0,No,-0.520170265,No
90317,ZNF616,No,No,No,No,5,1,2,0,No,-1.008786655,Yes
386653,IL31,No,No,No,No,3,1,1,0,No,-0.810083342,No
124221,PRSS30P,No,No,No,No,1,0,1,0,No,-0.520170265,No
10841,FTCD,Yes,No,No,Yes,8,0,0,1,No,-0.572811457,No
221687,RNF182,No,No,No,No,6,1,1,0,No,-1.127939856,No
3814,KISS1,No,No,No,No,3,3,3,2,No,1.729637405,No
3988,LIPA,No,Yes,Yes,No,3,0,2,1,No,0.459777032,No
10875,FGL2,No,No,No,No,12,6,8,0,No,-1.345614259,No
114827,FHAD1,No,No,No,No,1,0,0,0,No,-0.520170265,No
221472,FGD2,No,No,No,No,5,0,0,0,No,-1.008786655,No
339263,LINC02693,No,Yes,No,No,1,0,0,1,No,1.922447449,No
400720,ZNF772,No,No,No,No,3,1,1,0,No,-0.810083342,Yes
10230,NBR2,No,No,No,No,3,0,1,2,No,1.729637405,No
442721,LMOD2,No,No,No,No,0,0,0,0,No,-0.810083342,No
222235,FBXL13,No,No,Yes,No,3,0,1,2,No,1.729637405,No
147381,CBLN2,No,Yes,Yes,No,2,0,2,0,No,-0.732073624,No
619383,SCARNA9,No,No,No,No,1,0,0,0,No,-0.520170265,No
56884,FSTL5,No,No,No,No,3,1,1,0,No,-0.810083342,No
8435,SOAT2,No,No,No,Yes,3,2,2,2,No,1.729637405,No
8745,ADAM23,No,No,No,No,4,1,2,2,No,1.198424527,No
55010,PARPBP,No,No,No,No,3,2,1,0,No,-0.810083342,No
140851,MT1P3,No,No,No,No,1,0,0,0,No,-0.520170265,No
23105,FSTL4,No,No,Yes,No,3,0,0,2,No,1.729637405,No
9469,CHST3,No,Yes,Yes,No,4,2,2,1,No,0.132057799,No
51115,RMDN1,No,No,No,No,6,3,4,5,No,2.972437451,No
317703,VN1R4,No,No,No,No,1,0,1,1,No,1.922447449,No
27134,TJP3,No,No,No,No,6,1,3,1,No,-0.307864395,No
79690,GAL3ST4,No,No,No,No,1,0,1,0,No,-0.520170265,No
122970,ACOT4,No,No,No,No,0,0,0,0,No,-0.520170265,No
474344,GIMAP6,No,No,No,No,3,1,0,0,No,-0.810083342,No
284615,ANKRD34A,No,No,No,No,1,0,0,0,No,-0.520170265,No
145873,MESP2,No,No,Yes,No,4,1,3,0,No,-0.934308929,Yes
9697,TRAM2,No,No,No,No,2,0,0,0,No,-0.732073624,No
1002,CDH4,No,No,Yes,No,4,2,2,1,No,0.132057799,No
132243,H1-8,No,No,No,No,1,0,0,0,No,-0.520170265,No
83893,SPATA16,No,No,No,No,1,1,1,1,No,1.922447449,No
92126,DSEL,Yes,No,No,No,3,0,2,0,No,-0.810083342,No
27085,MTBP,No,No,No,No,3,0,2,3,No,2.999497778,No
26780,SNORA68,No,No,No,No,2,1,1,0,No,-0.732073624,No
5922,RASA2,No,No,Yes,No,2,1,2,1,No,0.881815956,No
401827,MSLNL,No,No,No,No,1,1,1,1,No,1.922447449,No
